Designator,Footprint,Quantity,Value,LCSC Part #
AE1,Texas_SWRA117D_2.4GHz_Right_BigHole,1,2.4GHz,
BT1,BAT-HLD-001_2Pins,1,CR2032,
"C1, C10, C13, C2, C6",0603,5,4.7u,
C11,0603,1,10n,
C12,0603,1,1u,
"C14, C15, C3, C4, C5, C7, C8, C9",0603,8,100n,
C16,0603,1,100p,
"C18, C19, C20",0603,3,220n,
"H1, H4",MountingHole_3.2mm_M3,2,MountingHole_M3,
J1,PinHeader_2x05_P1.27mm_Vertical_SMD,1,JTAG/SWD,
J2,USB_C_Receptacle_GCT_USB4085,1,USB_C_2.0,
L1,L_Wuerth_WE-TPC-2811,1,4.7u,
L2,L_Wuerth_WE-TPC-2811,1,2.2u,
"R1, R2, R3, R5, R9",0603,5,10k,
R4,0603,1,100k,
SW1,SW_PUSH_6mm,1,RESET,
SW2,SW_PUSH_6mm,1,USER,
TP1,TestPoint_Pad_D2.0mm,1,TestPoint,
U1,TSOT-23-5,1,LM3670MF,
U2,Bosch_LGA-8_2.5x2.5mm_P0.65mm_ClockwisePinNumbering,1,BME280,
U3,OPT3005DTSR,1,OPT3005,
U4,QFN-48-1EP_7x7mm_P0.5mm_EP5.6x5.6mm_ThermalVias_OneSided,1,STM32WB55CGUx,
U5,STCC4-PROVISIONAL,1,STCC4,
U6,SOT-23-6,1,REG710NA-3.3,
U7,DFN-14-1EP_3x2mm_P0.4mm_EP1.78x1.35mm_AP22966,1,AP22966,
U8,MLPF-WB55-01E3,1,MLPF-WB55-01E3,
Y1,Crystal_SMD_2016-4Pin_2.0x1.6mm,1,32MHz,
Y2,Crystal_AT310_D3.0mm_L10.0mm_Horizontal,1,32.768kHz,
