Designator,Mid X,Mid Y,Rotation,Layer
BT1,100.4,-109.65,90.0,bottom
C1,107.5,-116.5,90.0,top
C10,78.175,-110.29375,180.0,top
C11,83.2375,-98.475,90.0,top
C12,84.9375,-98.475,90.0,top
C13,87.725,-110.85,270.0,top
C14,90.4,-100.875,90.0,top
C15,78.175,-115.41625,180.0,top
C16,78.175,-113.70625,180.0,top
C18,94.825,-93.25,0.0,top
C19,98.3,-91.0,0.0,top
C2,103.8,-115.35,0.0,top
C20,98.3,-88.8,0.0,top
C3,85.9,-82.67,90.0,top
C4,80.8,-85.625,90.0,top
C5,79.075,-85.625,90.0,top
C6,82.2625,-114.85,90.0,top
C7,78.175,-111.99375,180.0,top
C8,89.525,-110.85,270.0,top
C9,91.45,-97.1,90.0,top
J1,104.25,-96.46,180.0,top
J2,85.025,-126.53,0.0,top
L1,99.4,-118.35,180.0,top
L2,85.7625,-115.75,90.0,top
R1,88.475,-95.8,180.0,top
R2,88.475,-92.2,180.0,top
R3,88.475,-94.0,180.0,top
R4,84.19,-82.665,90.0,top
R5,81.3,-122.0,0.0,top
R9,78.175,-118.0,180.0,top
SW1,74.25,-98.55,270.0,bottom
SW2,73.0,-124.0,180.0,top
U1,104.2625,-118.3,0.0,top
U2,85.025,-86.025,270.0,top
U3,76.0,-88.14,270.0,top
U4,85.0,-105.0,0.0,top
U5,96.5,-84.7,0.0,top
U6,94.8,-90.1625,90.0,top
U7,88.45,-87.4375,90.0,top
Y1,82.2375,-111.15,180.0,top
Y2,89.198025,-99.401974,135.0,bottom
